file,phonemes
Astacach.wav,ˈ a sˠ t̪ˠ ə k ə h
únfairt.wav,ˈ uː n̻ˠ fˠ ə ɾˠ tʲ
leithlisiú.wav,lʲ ai ç lʲ i ʃ uː
Domhain.wav,ˈ d̪ˠ au n̻ʲ
mionteagasc.wav,ˈ mʲ i n̻ˠ ˈ tʲ a ɡ ə sˠ k
fríos.wav,ˈ fʲ ɾʲ iː sˠ
athchuimhne.wav,ˈ a x i vʲ nʲ ə
cuntraphointe.wav,ˈ k u n̻ˠ t̪ˠ ɾˠ ə fˠ i nʲ tʲ ə
ceartúcháin.wav,c a ɾˠ t̪ˠ uː h a nʲ
cianaistir.wav,c ia n̻ˠ ə ʃ tʲ i ɾʲ
lúthchleasa.wav,ˈ l̻ˠ uː h ç lʲ ə sˠ ə
parlaimint.wav,ˈ pˠ aː ɾˠ l̻ˠ ə mʲ ə n̻ʲ tʲ
iniseal.wav,ˈ i ˈ nʲ i ʃ ə l̻ˠ
coinsíneacht.wav,ˈ k o nʲ ʃ i nʲ a x t̪ˠ
neamhchúis.wav,nʲ au h u ʃ
cigilteach.wav,ˈ c i ɟ ə l̻ʲ tʲ a h
Gailíleach.wav,ˈ ɡ a lʲ iː lʲ ə h
cuireata.wav,ˈ k i ɾʲ ə t̪ˠ ə
leomh.wav,ˈ l̻ʲ oː vˠ
móide.wav,ˈ mˠ oː dʲ ə
seachránach.wav,ʃ a h ɾˠ aː n̻ˠ a h
iomaíocht.wav,ˈ i mˠ iː a x t̪ˠ
gabháltas.wav,ɡ au aː l̻ˠ t̪ˠ ə sˠ
goir.wav,ɡ o ɾʲ
néata.wav,ˈ nʲ eː t̪ˠ a
acmhainn.wav,ˈ a k vˠ ə n̻ʲ
codánaigh.wav,k o d̪ˠ aː n̻ˠ iː
corcáil.wav,ˈ k o ɾˠ k aː lʲ
scáth.wav,sˠ k aː h
toirmiscthe.wav,ˈ t̪ˠ o ɾʲ ə mʲ ə ʃ c h ə
cunús.wav,ˈ k u n̻ˠ u sˠ
aischéimniú.wav,a ʃ ç eː mʲ nʲ uː
ionsáigh.wav,i n̻ˠ sˠ a j
beaichte.wav,ˈ bʲ a ç tʲ ə
clóite.wav,ˈ k l̻ˠ oː ˈ i tʲ ə
seoltóireacht.wav,ˈ ʃ oː l̻ˠ t̪ˠ o ɾʲ a x t̪ˠ
colbha.wav,ˈ k o l̻ˠ ə vˠ ə
leanbh.wav,ˈ l̻ʲ a n̻ˠ ə vˠ
monatóir.wav,ˈ mˠ o n̻ˠ ə t̪ˠ o ɾʲ
scamhóige.wav,ˈ sˠ k au o ɟ ə
léirmhínitheoir.wav,ˈ l̻ʲ eː ɾʲ ˈ vʲ iː 
coláisteach.wav,ˈ k o l̻ˠ aː ʃ tʲ a h
mearbhlach.wav,ˈ mʲ a ɾˠ ə vˠ l̻ˠ a h
piliúr.wav,ˈ pʲ i lʲ u ɾˠ
claonta.wav,ˈ k l̻ˠ iː n̻ˠ t̪ˠ ə
súpláilte.wav,ˈ sˠ uː pˠ l̻ˠ aː lʲ tʲ ə
infreastruchtúir.wav,ˈ i nʲ ˈ fʲ ɾʲ a sˠ t̪ˠ ɾˠ ə ɾˠ t̪ˠ uː ɾʲ
geolaí.wav,ˈ ɟ oː l̻ˠ iː
comhlach.wav,ˈ k oː l̻ˠ a h
cost-éifeachtúlacht.wav,ˈ k o sˠ ˈ t̪ˠ eː fʲ ə ɾˠ t̪ˠ uː l̻ˠ ə ɾˠ t̪ˠ
giorrúchán.wav,ˈ ɟ i ɾˠ uː h aː n̻ˠ
tobchliseadh.wav,ˈ t̪ˠ o bʲ ç lʲ ə ʃ uː
cliar.wav,c lʲ ia ɾˠ
ochlán.wav,ˈ a h l̻ˠ a n̻ˠ
árachaigh.wav,ˈ aː ɾˠ a h iː
Polannach.wav,ˈ pˠ o l̻ˠ ə n̻ˠ ə h
sibhialta.wav,ˈ ʃ i vʲ ia l̻ˠ t̪ˠ ə
taithí.wav,ˈ t̪ˠ ai hʲ iː
urlabhra.wav,ˈ u ɾˠ l̻ˠ oː ɾˠ ə
marcra.wav,ˈ mˠ a ɾˠ k ɾˠ ə
drochbhail.wav,ˈ d̪ˠ ɾˠ o h ˈ vˠ a lʲ
Libéarach.wav,ˈ l̻ʲ i bʲ eː ɾˠ ə h
súmaireacht.wav,sˠ uː mˠ ə ɾʲ a ɾˠ t̪ˠ
fithisigh.wav,ˈ fʲ i hʲ ə ʃ iː
cál.wav,ˈ k aː l̻ˠ
loirgneán.wav,ˈ l̻ˠ o ɾʲ ə ɟ nʲ a n̻ˠ
seachtrach.wav,ˈ ʃ a ɾˠ t̪ˠ ɾˠ a h
eiteán.wav,ˈ e tʲ a n̻ˠ
carthanais.wav,k a ɾ̥ˠ ə n̻ˠ ə ʃ
oibritheoir.wav,o bʲ ɾʲ i hʲ o ɾʲ
craicear.wav,ˈ k ɾˠ a c ə ɾˠ
ceadúnaigh.wav,ˈ c a d̪ˠ u n̻ˠ iː
camógaíochta.wav,k a mˠ oː ɡ ia h t̪ˠ ə
sofaisticiúil.wav,ˈ sˠ o fˠ ə ʃ tʲ ə c u lʲ
drachma.wav,d̪ˠ ɾˠ a h mˠ ə
geal.wav,ˈ ɟ a l̻ˠ
cimeonó.wav,c i mʲ oː n̻ˠ oː
dáigh.wav,ˈ d̪ˠ aː j
talmhaithe.wav,t̪ˠ o l̻ˠ ə vˠ iː
grideall.wav,ˈ ɟ ɾʲ i dʲ ə l̻ˠ
todóg.wav,ˈ t̪ˠ o d̪ˠ o ɡ
fáistine.wav,ˈ fˠ aː ʃ tʲ ə nʲ ə
dlí.wav,ˈ dʲ lʲ iː
iomróir.wav,ˈ i mˠ ɾˠ o ɾʲ
labhandar.wav,ˈ l̻ˠ oː ə n̻ˠ d̪ˠ ə ɾˠ
tras-scríobh.wav,t̪ˠ ɾˠ a sˠ ʃ c ɾʲ iː vˠ
antraipeolaí.wav,a n̻ˠ t̪ˠ ɾˠ ə pʲ oː l̻ˠ iː
cist.wav,ˈ c i ʃ tʲ
folachánaí.wav,ˈ fˠ o l̻ˠ a h a n̻ˠ iː
ídiú.wav,iː dʲ uː
ardmháta.wav,aː ɾˠ d̪ˠ vˠ aː t̪ˠ ə
seasamh.wav,ˈ ʃ a sˠ uː
sloinne.wav,ˈ sˠ l̻ˠ o n̻ʲ ə
cistigh.wav,ˈ c i ʃ tʲ ə
seifide.wav,ˈ ʃ e fʲ ə dʲ ə
míthaitneamh.wav,mʲ iː hʲ ə tʲ nʲ uː
greannach.wav,ɟ ɾʲ a n̻ˠ a h
atall.wav,a t̪ˠ ə l̻ˠ
taghdach.wav,ˈ t̪ˠ ai d̪ˠ a h
inbhéartach.wav,ˌ i nʲ ˈ vʲ eː ɾˠ t̪ˠ a h
barrloscadh.wav,bˠ a ɾˠ l̻ˠ ə sˠ k uː
toitcheo.wav,ˈ t̪ˠ o tʲ ç oː
ceathairuilleog.wav,ˈ c a h ə ɾʲ i l̻ʲ o ɡ
abhcóide.wav,ˈ oː k o dʲ ə
liúntas.wav,ˈ l̻ʲ uː n̻ˠ t̪ˠ ə sˠ
sceanairt.wav,ˈ ʃ c a n̻ˠ ə ɾˠ tʲ
mothálach.wav,ˈ mˠ o h a l̻ˠ a h
tairngir.wav,ˈ t̪ˠ a ɾˠ ə ɲ ɟ ə ɾʲ
gnéis.wav,ˈ ɟ nʲ eː ʃ
gallchnó.wav,ˈ ɡ a l̻ˠ x n̻ˠ oː
áilligh.wav,aː l̻ʲ iː
lánaghaidhe.wav,ˈ l̻ˠ aː ˈ n̻ˠ eː iː ə
uasmhéid.wav,ˈ uˑə sˠ ˈ vʲ eː dʲ
taosach.wav,t̪ˠ iː sˠ a h
athmheascadh.wav,ˈ a ˈ vʲ a sˠ k uː
formhór.wav,ˈ fˠ o ɾˠ vˠ o ɾˠ
ópalach.wav,oː pˠ ə l̻ˠ a h
ciocáid.wav,c i k a dʲ
bruitíneach.wav,ˈ bˠ ɾˠ i tʲ i nʲ a h
suíomh.wav,ˈ sˠ iː au
seiriceán.wav,ʃ e ɾʲ i c a n̻ˠ
oideachasóir.wav,ˈ o dʲ a h ə sˠ o ɾʲ
mamaí.wav,ˈ mˠ a mˠ iː
leataobhach.wav,ˈ l̻ʲ a t̪ˠ i vˠ a h
ríomhairigh.wav,ˈ ɾˠ iː ˈ oː ə ɾʲ ə
plugáil.wav,pˠ l̻ˠ u ɡ a lʲ
gealta.wav,ɟ a l̻ˠ t̪ˠ ə
glaineacht.wav,ɡ l̻ˠ a nʲ a ɾˠ t̪ˠ
ardchríoch.wav,aː ɾˠ dʲ ç ɾʲ ia h
trinsiúr.wav,ˈ tʲ ɾʲ i nʲ ʃ uː ɾˠ
sleamhnaigh.wav,ˈ ʃ lʲ au n̻ˠ iː
binsí.wav,ˈ bʲ i nʲ ʃ iː
basal.wav,ˈ bˠ a sˠ ə l̻ˠ
cinniúnach.wav,ˈ c i n̻ʲ u n̻ˠ a h
geiteo.wav,ˈ ɟ e tʲ oː
Walkman.wav,ˈ vˠ aː l̻ˠ k mˠ a n̻ˠ
murnán.wav,ˈ mˠ uː ɾˠ n̻ˠ a n̻ˠ
sacair.wav,ˈ sˠ a k ə ɾʲ
bagrach.wav,ˈ bˠ a ɡ ɾˠ a h
sceird.wav,ˈ ʃ c eː ɾˠ dʲ
múscailt.wav,ˈ mˠ uː sˠ k ə l̻ʲ tʲ
séis.wav,ˈ ʃ eː ʃ
draenáil.wav,ˈ d̪ˠ ɾˠ eː n̻ˠ a lʲ
in-bhithmhillte.wav,i nʲ vʲ i hʲ vʲ i l̻ʲ tʲ ə
aeraidinimic.wav,ˈ e ɾˠ ə dʲ i ˈ nʲ i mʲ ə c
altranais.wav,ˈ a l̻ˠ t̪ˠ ɾˠ ə n̻ˠ ə ʃ
dreoite.wav,ˈ dʲ ɾʲ oː tʲ ə
scaollmhar.wav,ˈ sˠ k iː l̻ˠ vˠ ə ɾˠ
taoscán.wav,ˈ t̪ˠ iː sˠ k a n̻ˠ
nuachtáin.wav,ˈ n̻ˠ uˑə ˈ ɾˠ t̪ˠ aː nʲ
inmholta.wav,ˌ i n̻ˠ ˈ vˠ o l̻ˠ t̪ˠ ə
tarracóir.wav,ˈ t̪ˠ a ɾˠ ə k o ɾʲ
dainneoin.wav,ˈ d̪ˠ a n̻ʲ o nʲ
feabhsúcháin.wav,ˈ fˠ au sˠ uː h aː nʲ
leaisteanna.wav,ˈ l̻ʲ a ʃ tʲ ə n̻ˠ ə
cinnteacht.wav,ˈ c i n̻ʲ tʲ a x t̪ˠ
comhiomlán.wav,ˈ k oː ˈ i mˠ l̻ˠ a n̻ˠ
beaguchtach.wav,ˈ bʲ o ɡ u ɾˠ t̪ˠ a h
sobaldráma.wav,ˈ sˠ o ˈ bˠ a l̻ˠ d̪ˠ ɾˠ aː mˠ ə
láíocht.wav,l̻ˠ aː iː ˈ a x t̪ˠ
dalmátach.wav,ˈ d̪ˠ a l̻ˠ ə mˠ aː t̪ˠ ə h
traenáilte.wav,t̪ˠ ɾˠ eː n̻ˠ aː lʲ tʲ ə
Pheadair.wav,ˈ fʲ aː d̪ˠ ə ɾʲ
caordhearg.wav,ˈ k iː ɾˠ ˈ j a ɾˠ ə ɡ
masmas.wav,ˈ mˠ a sˠ mˠ ə sˠ
mionghadaíocht.wav,mʲ i ŋ h ə d̪ˠ ia h t̪ˠ
Mandairínise.wav,ˈ mˠ a n̻ˠ d̪ˠ ə ɾʲ iː nʲ ə ʃ ə
mumaigh.wav,mˠ u mˠ iː
iscéimeach.wav,ˈ i ʃ c eː mʲ ə h
fíniúin.wav,ˈ fʲ iː nʲ u nʲ
breithlá.wav,ˈ bʲ ɾʲ e h l̻ˠ aː
mealltóir.wav,ˈ mʲ o l̻ˠ t̪ˠ o ɾʲ
tuin.wav,ˈ t̪ˠ i nʲ
físchluiche.wav,ˈ fʲ iː ʃ ˈ x l̻ˠ i hʲ ə
clár.wav,ˈ k l̻ˠ aː ɾˠ
príomhchúram.wav,ˈ pʲ ɾʲ iː vˠ ˈ x uː ɾˠ ə mˠ
greanta.wav,ˈ ɟ ɾʲ a n̻ˠ t̪ˠ ə
iarthar.wav,ˈ ia ɾˠ h ə ɾˠ
faireachán.wav,fˠ a ɾʲ ə h a n̻ˠ
bleaisteáil.wav,ˈ bʲ lʲ a ʃ tʲ a lʲ
aithinne.wav,ˈ ai hʲ ə n̻ʲ ə
giústáil.wav,ɟ uː sˠ t̪ˠ a lʲ
neamhbhailí.wav,ˈ nʲ au ˈ vˠ a lʲ iː
cothromaíocht.wav,ˈ k o ɾ̥ˠ ə mˠ iː a x t̪ˠ
cuirfiú.wav,ˈ k i ɾʲ fʲ uː
leathbhlaosc.wav,ˈ l̻ʲ a ˈ vˠ l̻ˠ iː sˠ k
finscéal.wav,ˈ fʲ i nʲ ʃ c e l̻ˠ
foinsí.wav,ˈ fˠ o ˈ i nʲ ˈ ʃ iː
niamhracht.wav,nʲ ia vˠ ɾˠ a ɾˠ t̪ˠ
fáltais.wav,ˈ fˠ aː l̻ˠ t̪ˠ ə ʃ
teiléacs.wav,ˈ tʲ e lʲ e k sˠ
comhchoibhneasach.wav,k oː h ə vʲ nʲ ə sˠ a h
réamhtheachtaí.wav,ˈ ɾˠ eː vˠ ˈ hʲ a x t̪ˠ iː
athfheistiú.wav,a hʲ ə ʃ tʲ uː
giorta.wav,ˈ ɟ i ɾˠ t̪ˠ ə
corpraithe.wav,k a ɾˠ pˠ ɾˠ iː
anacrach.wav,ˈ a n̻ˠ ə k ɾˠ a h
óicé.wav,ˈ oː c eː
pasáil.wav,ˈ pˠ a sˠ a lʲ
grúpa.wav,ˈ ɡ ɾˠ uː pˠ ə
cic.wav,ˈ c i c
teanntaithe.wav,tʲ a n̻ˠ t̪ˠ iː
gnáthdhaoine.wav,ˈ ɡ n̻ˠ aː ˈ ɣ iː nʲ iː
teibí.wav,ˈ tʲ e bʲ iː
leon.wav,ˈ l̻ʲ oː n̻ˠ
sainstiúir.wav,ˈ sˠ a nʲ ˈ ʃ tʲ uː ɾʲ
oisre.wav,ˈ o ʃ ɾʲ ə
athmháistir.wav,a h vˠ aː ʃ tʲ i ɾʲ
geir.wav,ˈ ɟ e ɾʲ
amach.wav,ə ˈ mˠ a h
madhmadh.wav,ˈ mˠ eː mˠ uː
dlúthaigh.wav,ˈ d̪ˠ l̻ˠ uː h iː
socrú.wav,ˈ sˠ o k ɾˠ uː
garbhaigh.wav,ˈ ɡ a ɾˠ ə vˠ iː
tíopáil.wav,ˈ tʲ iː pˠ aː lʲ
éirí.wav,ˈ iː ɾʲ iː
oidhreacht.wav,ˈ ai ɾʲ a x t̪ˠ
maoildearg.wav,ˈ mˠ iː lʲ ˈ dʲ a ɾˠ ə ɡ
braoinín.wav,ˈ bˠ ɾˠ iː nʲ iː nʲ
posta.wav,pˠ a sˠ t̪ˠ ə
caithréim.wav,ˈ k ai hʲ ɾʲ e mʲ
dea-rún.wav,d̪ˠ a ɾˠ uː n̻ˠ
feabhas.wav,ˈ fʲ au sˠ
mungailt.wav,ˈ mˠ u ŋ ɡ ə l̻ʲ tʲ
racán.wav,ˈ ɾˠ a k a n̻ˠ
Athbhliain.wav,ˈ a vʲ lʲ ia nʲ
ardúcháin.wav,ˈ aː ɾˠ ˈ d̪ˠ uː h aː nʲ
féinrialúchán.wav,ˈ fʲ eː nʲ ˈ ɾˠ iˑə l̻ˠ uː h aː n̻ˠ
bandeagánach.wav,bˠ a nʲ dʲ ə ɡ aː n̻ˠ a h
sméar.wav,ˈ sˠ mʲ eː ɾˠ
cumhach.wav,ˈ k uː a h
taisme.wav,ˈ t̪ˠ a ʃ mʲ ə
cláraitheoir.wav,ˈ k l̻ˠ aː ɾˠ i hʲ o ɾʲ
léimneoir.wav,ˈ l̻ʲ eː mʲ nʲ o ɾʲ
suimiú.wav,ˈ sˠ i mʲ uː
sédéagú.wav,ˈ ʃ eː dʲ eː ɡ uː
cuilithe.wav,ˈ k i lʲ iː hʲ ə
sléibhteoir.wav,ˈ ʃ lʲ eː vʲ tʲ o ɾʲ
íorna.wav,ˈ iː ɾˠ n̻ˠ ə
ardmháistreás.wav,ˈ aː ɾˠ d̪ˠ ˈ vˠ aː ʃ tʲ ɾʲ a sˠ
ceannteideal.wav,ˈ c a n̻ʲ tʲ e dʲ ə l̻ˠ
teangeolaí.wav,ˈ tʲ a ɲ ɟ o l̻ˠ iː
fuinnimh.wav,fˠ i n̻ʲ i vʲ
caor.wav,ˈ k iː ɾˠ
eascann.wav,ˈ a sˠ k ə n̻ˠ
íocshláinteach.wav,iː k h l̻ˠ aː nʲ tʲ a h
k.wav,ˈ k ai j
cairdeolaí.wav,k a ɾˠ dʲ oː l̻ˠ iː
uasteorannú.wav,ˈ uˑə sˠ ˈ tʲ oː ˈ ɾˠ a n̻ˠ uː
láithreach.wav,ˈ l̻ˠ aː hʲ ɾʲ a h
contráth.wav,ˈ k o n̻ˠ t̪ˠ ɾˠ aː
antaiseipteach.wav,ˈ a n̻ˠ t̪ˠ ə ˈ ʃ e pʲ t̪ˠ a h
clairnéid.wav,ˈ k l̻ˠ a ɾʲ nʲ eː dʲ
piocóid.wav,ˈ pʲ i k o dʲ
imscar.wav,i mʲ ʃ c ə ɾˠ
Eabhrais.wav,ˈ au ɾˠ ə ʃ
astarraingt.wav,a sˠ t̪ˠ ə ɾˠ ə nʲ tʲ
beachtas.wav,ˈ bʲ a x t̪ˠ ə sˠ
grádú.wav,ɡ ɾˠ aː d̪ˠ uː
puipéadóireacht.wav,ˈ pˠ i pʲ eː d̪ˠ o ɾʲ ə ɾˠ t̪ˠ
gallbholgach.wav,ɡ o l̻ˠ ə vˠ ə l̻ˠ ə ɡ a h
buacach.wav,ˈ bˠ ua k a h
píobán.wav,ˈ pʲ iː bˠ a n̻ˠ
dalladh.wav,ˈ d̪ˠ a l̻ˠ uː
deinim.wav,ˈ dʲ e nʲ ə mʲ
bratach.wav,ˈ bˠ ɾˠ a t̪ˠ a h
frustrachas.wav,fˠ ɾˠ u sˠ t̪ˠ ɾˠ ə h ə sˠ
leadán.wav,ˈ l̻ʲ a d̪ˠ a n̻ˠ
nicitín.wav,ˈ nʲ i c ə tʲ i nʲ
cuid.wav,ˈ k i dʲ
státúil.wav,ˈ sˠ t̪ˠ aː t̪ˠ u lʲ
aonghnéitheach.wav,ˈ iː n̻ˠ ˈ j ɾʲ eː hʲ a h
scréachach.wav,ʃ c ɾʲ eː h a h
scrín.wav,ˈ ʃ c ɾʲ iː nʲ
grian.wav,ˈ ɟ ɾʲ ia n̻ˠ
deochanna.wav,ˈ dʲ oː h ə n̻ˠ ə
allta.wav,ˈ o l̻ˠ t̪ˠ ə
tóraí.wav,ˈ t̪ˠ oː ɾˠ iː
ríomhaire.wav,ˈ ɾˠ iː vˠ ə ɾʲ ə
aonaracht.wav,iː n̻ˠ ə ɾˠ a ɾˠ t̪ˠ
cileavatuair.wav,ˈ c i lʲ ə vʲ ə t̪ˠ uˑə ɾʲ
cluin.wav,ˈ k l̻ˠ i nʲ
buntéipeanna.wav,ˈ bˠ u n̻ˠ ˈ tʲ eː pʲ ə n̻ˠ ə
fearas.wav,ˈ fʲ a ɾˠ ə sˠ
alltar.wav,o l̻ˠ t̪ˠ ə ɾˠ
taise.wav,ˈ t̪ˠ a ʃ ə
comhréire.wav,k oː ɾʲ eː ɾʲ ə
sóigh.wav,sˠ oː j
garraí.wav,ˈ ɡ a ɾˠ iː
measúnóir.wav,ˈ mʲ a sˠ u n̻ˠ o ɾʲ
baitsiléir.wav,ˈ bˠ a tʲ ʃ ə lʲ e ɾʲ
naíchóiste.wav,ˈ n̻ˠ iː ˈ x oː ʃ tʲ ə
alpaire.wav,ˈ o l̻ˠ pˠ ə ɾʲ ə
dúnpholl.wav,ˈ d̪ˠ uː n̻ˠ fˠ o l̻ˠ
breocharn.wav,ˈ bʲ ɾʲ oː h ə ɾˠ n̻ˠ
brioscaigh.wav,ˈ bʲ ɾʲ i sˠ k iː
abar.wav,ˈ a bˠ ə ɾˠ
dílis.wav,ˈ dʲ iː lʲ ə ʃ
zónáilte.wav,ˈ zˠ oː n̻ˠ aː lʲ tʲ ə
tiomána.wav,ˈ tʲ i mˠ aː n̻ˠ ə
constaic.wav,k ə n̻ˠ ˈ sˠ t̪ˠ a c
burgaire.wav,bˠ u ɾˠ ə ɡ ə ɾʲ ə
coscairt.wav,ˈ k o sˠ k ə ɾˠ tʲ
bratsáirsint.wav,bˠ ɾˠ a t̪ˠ sˠ aː ɾˠ ʃ i nʲ tʲ
múitseálaí.wav,mˠ uː tʲ ʃ aː l̻ˠ iː
múcasach.wav,mˠ uː k ə sˠ a h
leabhróg.wav,ˈ l̻ʲ au ɾˠ o ɡ
mórchúis.wav,ˈ mˠ oː ɾˠ x u ʃ
Beidiúnach.wav,ˈ bʲ e dʲ uː n̻ˠ ə h
faopach.wav,ˈ fˠ iː pˠ a h
aimpliú.wav,a mʲ pʲ lʲ uː
stoirm.wav,ˈ sˠ t̪ˠ o ɾʲ ə mʲ
bóithreoir.wav,bˠ oː hʲ ɾʲ o ɾʲ
tríchosach.wav,tʲ ɾʲ iː ç ə sˠ a h
galar.wav,ɡ a l̻ˠ ə ɾˠ
Iáivé.wav,ˈ iː aː vʲ eː
pónaithe.wav,ˈ pˠ oː n̻ˠ ə h ə
mallaigh.wav,ˈ mˠ i l̻ʲ iː
dalltach.wav,d̪ˠ o l̻ˠ t̪ˠ a h
preasagallamh.wav,ˈ pʲ ɾʲ a sˠ ˈ a ɡ ə l̻ˠ uː
ceartas.wav,ˈ c a ɾˠ t̪ˠ ə sˠ
treabh.wav,ˈ tʲ ɾʲ au
neamhleithleachas.wav,nʲ au lʲ ai ç lʲ ə h ə sˠ
uasta.wav,ˈ ua sˠ t̪ˠ ə
dumhach.wav,ˈ d̪ˠ uː a h
antaigin.wav,ˈ a n̻ˠ ˈ t̪ˠ a ɟ ə nʲ
modhnaithe.wav,mˠ oː n̻ˠ iː
cóirthrádáil.wav,ˈ k oː ɾˠ h ɾˠ aː d̪ˠ aː lʲ
Sicileach.wav,ˈ ʃ i c ə lʲ ə h
comhoibritheach.wav,k oː ə bʲ ɾʲ i hʲ a h
searbhas.wav,ˈ ʃ a ɾˠ ə vˠ ə sˠ
príomhphearsa.wav,pʲ ɾʲ iː vʲ fʲ ə ɾˠ sˠ ə
gléghlan.wav,ˈ ɟ lʲ eː ˈ ɣ l̻ˠ a n̻ˠ
fógrach.wav,fˠ oː ɡ ɾˠ a h
dustáil.wav,ˈ d̪ˠ u sˠ t̪ˠ aː lʲ
séala.wav,ˈ ʃ eː l̻ˠ ə
atoghchán.wav,a t̪ˠ eː h a n̻ˠ
baiséadach.wav,bˠ a ʃ eː d̪ˠ a h
tosca.wav,ˈ t̪ˠ o sˠ k ə
iardheisceart.wav,ˈ ia ɾˠ ˈ j e ʃ c ə ɾˠ t̪ˠ
lása.wav,ˈ l̻ˠ aː sˠ ə
amaigh.wav,ˈ a mˠ iː
cis.wav,ˈ c i ʃ
béalscaoilte.wav,ˈ bʲ eː l̻ˠ ˈ sˠ k i l̻ʲ tʲ ə
dornálaíochta.wav,ˈ d̪ˠ o ˈ ɾˠ n̻ˠ aː l̻ˠ iˑə ɾˠ t̪ˠ ə
bríbhéireacht.wav,ˈ bʲ ɾʲ iː vʲ e ɾʲ a x t̪ˠ
