transcription,phoneme_sentence,audio_path
mar shampla leanaí a n-airíonn siad mar chuid de mhionlach cine ar a ndéantar steiréitíopa mar ghrúpa nach n-éiríonn go maith leis ar scoil is iondúil nach n-éireoidh go maith leo ar scoil a luaithe a fhaigheann siad amach faoin steiréitíopa a bhaineann lena gcine,mˠaɾˠ|hamˠpˠl̻ˠə|ˈl̻ʲan̻ˠiː|ə|n̻ˠaɾʲiːn̻ˠ|ˈʃiːd̪ˠ|mˠaɾˠ|ˈxidʲ|ˈd̪ˠe|vʲin̻ˠl̻ˠah|ˈcinʲə|ˈeɾʲ|ə|ˈnʲeːn̻ˠt̪ˠəɾˠ|ʃtʲeɾʲeːtʲiːpˠə|mˠaɾˠ|ˈɣɾˠuːpˠə|ˈn̻ˠah|nʲeːɾʲiːn̻ˠ|ˈɡə|ˈmˠahʲ|ˈlʲiʃ|ˈeɾʲ|ˈsˠkolʲ|ˈisˠ|ˌin̻ˠˈd̪ˠuːlʲ|ˈn̻ˠah|nʲeːɾʲoj|ˈɡə|ˈmˠahʲ|ˈlʲoː|ˈeɾʲ|ˈsˠkolʲ|ə|ˈl̻ˠuahʲə|ə|eːn̻ˠ|ˈʃiːd̪ˠ|əˈmˠah|ˈfˠinʲ|ʃtʲeɾʲeːtʲiːpˠə|ə|vˠanʲən̻ˠ|ˈlʲen̻ˠə|ɟinʲə,train/10054823841768079925.wav
shonraigh tuairiscí níos déanaí go ndearnadh bagairt bhuama ar an eitleán agus cuireadh ar ais arís é chuig an afganastáin ag tuirlingt i kandahar,hon̻ˠɾˠiː|t̪ˠuaɾʲiʃciː|ˈnʲiːsˠ|ˈdʲeːn̻ˠiː|ˈɡə|nʲaɾˠn̻ˠuː|ˈbˠaɡəɾˠtʲ|vˠuamˠə|ˈeɾʲ|ˈən̻ˠ|ˈetʲəlʲan̻ˠ|ˈəɡəsˠ|ˈkiɾʲuː|ˈeɾʲ|ˈaʃ|əˈɾʲiːʃ|ˈeː|ˈhiɟ|ˈən̻ˠ|[UNK]|ˈeɟ|ˈt̪ˠuːɾˠlʲən̻ʲtʲ|ˈi|[UNK],train/10056802584597640023.wav
tá haváí sa chrios ama céanna leis na hoileáin mar sin tugtar haváí na hastráile ar na hoileáin uaireanta,ˈt̪ˠaː|[UNK]|ˈsˠə|çɾʲisˠ|ˈamˠə|ˈceːɾˠn̻ˠə|ˈlʲiʃ|ˈn̻ˠə|[UNK]|mˠaɾˠ|ˈʃinʲ|t̪ˠuɡt̪ˠəɾˠ|[UNK]|ˈn̻ˠə|[UNK]|ˈeɾʲ|ˈn̻ˠə|[UNK]|uaɾʲən̻ˠt̪ˠə,train/10060188695011898186.wav
chuige sin níor mhór dóibh fáil réidh le bunáiteanna agus longa na breataine san éigipt seachas na gníomhartha sin ní raibh sé beartaithe go ndéanfadh longa cogaidh na hiodáile aon ní eile,ˈhiɟə|ˈʃinʲ|ˈn̻ʲiːɾˠ|ˈvˠoːɾˠ|ˈd̪ˠoːvʲ|ˈfˠaːlʲ|ˈɾˠeːj|ˈlʲe|bˠun̻ˠaːtʲən̻ˠə|ˈəɡəsˠ|l̻ˠoŋɡə|ˈn̻ˠə|bʲɾʲat̪ˠənʲə|sˠən̻ˠ|[UNK]|ˈʃahəsˠ|ˈn̻ˠə|ɟnʲiːvˠəɾ̥ˠə|ˈʃinʲ|ˈn̻ʲiː|ˈɾˠoːvˠ|ˈʃeː|ˈbʲaɾˠt̪ˠəhə|ˈɡə|ˈnʲeːn̻ˠhuː|l̻ˠoŋɡə|ˈkoɡiː|ˈn̻ˠə|[UNK]|ˈeːn̻ˠ|ˈn̻ʲiː|ˈelʲə,train/10081110409820418474.wav
ba é séarlas an chéad duine de theaghlach ríoga na breataine ar bronnadh céim air,ˈbˠə|ˈeː|[UNK]|ˈən̻ˠ|ˈçeːd̪ˠ|ˈd̪ˠinʲə|ˈd̪ˠe|hʲail̻ˠah|ˈɾˠiːɡə|ˈn̻ˠə|bʲɾʲat̪ˠənʲə|ˈeɾʲ|ˈbˠɾˠon̻ˠuː|ˈceːmʲ|ˈeɾʲ,train/10081578420569308596.wav
go gairid ina dhiaidh sin d'fhoilsigh the atlanta journal-constitution tuarascáil inar nochtadh fadhbanna le torthaí trialacha,ˈɡə|ˈɡaɾʲədʲ|ˈin̻ˠə|ˈjeːj|ˈʃinʲ|d̪ˠolʲʃiː|hʲe|[UNK]|[UNK]|ˈt̪ˠuaɾˠəsˠkalʲ|inʲəɾˠ|ˈn̻ˠaxt̪ˠuː|ˈfˠad̪ˠˈhbˠan̻ˠə|ˈlʲe|ˈt̪ˠoːɾˠhiː|tʲɾʲial̻ˠahə,train/10085792408730462326.wav
caillfidh párasaigh an chuma bhorb má bhíonn tusa dea-mhúinte leo,kal̻̊ʲiː|pˠaːɾˠəsˠiː|ˈən̻ˠ|ˈxumˠə|vˠaɾˠəbˠ|ˈmˠa|ˈvʲiːn̻ˠ|ˈt̪ˠusˠə|ˈdʲaːˈvˠuːn̻ʲtʲə|ˈlʲoː,train/10085985216871720101.wav
spreagadh don tsamhlaíocht le fada an lá is ea an caisleán meánaoiseach traidisiúnta spreagann sé pictiúir den ghiústáil d'fhéastaí móra agus den niachas artúrach,ˈsˠpʲɾʲaɡuː|ˈd̪ˠon̻ˠ|t̪ˠaul̻ˠiaht̪ˠ|ˈlʲe|ˈfˠad̪ˠə|ˈən̻ˠ|ˈl̻ˠaː|ˈisˠ|ˈa|ˈən̻ˠ|ˈkaʃlʲan̻ˠ|ˈmʲaːn̻ˠiʃah|ˈt̪ˠɾˠadʲiʃun̻ˠt̪ˠə|sˠpʲɾʲiɡən̻ˠ|ˈʃeː|pʲictʲuːɾʲ|ˈdʲənʲ|[UNK]|[UNK]|ˈmˠoːɾˠə|ˈəɡəsˠ|ˈdʲənʲ|ˈnʲiahəsˠ|aɾˠt̪ˠuːɾˠah,train/10089349196676743210.wav
chríochnaigh michael schumacher a rás go gairid i ndiaidh alonso de bharr an damáiste don chrochadh sna cathanna líonmhara le linn an rása,çɾʲiahn̻ˠiː|[UNK]|[UNK]|ə|ˈɾˠaːsˠ|ˈɡə|ˈɡaɾʲədʲ|ˈi|ˈn̻ʲeːj|[UNK]|ˈd̪ˠe|ˈvˠaːɾˠ|ˈən̻ˠ|ˈd̪ˠamˠaʃtʲə|ˈd̪ˠon̻ˠ|xɾˠohuː|ˈsˠn̻ˠə|kahən̻ˠə|lʲiːn̻ˠvˠəɾˠə|ˈlʲe|ˈlʲin̻ʲ|ˈən̻ˠ|ˈɾˠaːsˠə,train/10090253610992992710.wav
ag an am céanna bhí cabhlach na gearmáine trí u-bháid a úsáid go príomha ag iarraidh stop a chur leis an trácht sin,ˈeɟ|ˈən̻ˠ|ˈamˠ|ˈceːɾˠn̻ˠə|ˈvʲiː|ˈkaul̻ˠah|ˈn̻ˠə|[UNK]|ˈtʲɾʲiː|[UNK]|ə|ˈuːsˠadʲ|ˈɡə|ˈpʲɾʲiːvˠə|ˈeɟ|ˈiaɾˠiː|ˈsˠt̪ˠopˠ|ə|ˈxuɾˠ|ˈlʲiʃ|ˈən̻ˠ|ˈt̪ˠɾˠaːxt̪ˠ|ˈʃinʲ,train/10091516074095780781.wav
ní raibh duine ar bith san árasán,ˈn̻ʲiː|ˈɾˠoːvˠ|ˈd̪ˠinʲə|ˈeɾʲ|ˈbʲiː|sˠən̻ˠ|ˈaːɾˠəsˠan̻ˠ,train/10091724490437806803.wav
is teanga an-chasta agus saibhir í an tsanscrait a bhí mar fhoinse do go leor nua-theangacha indiacha díreach mar is í an laidin foinse do theangacha eorpacha mar an fhraincis agus an spáinnis,ˈisˠ|ˈtʲaŋə|an̻ˠhasˠt̪ˠə|ˈəɡəsˠ|ˈsˠevʲəɾʲ|ˈiː|ˈən̻ˠ|[UNK]|ə|ˈvʲiː|mˠaɾˠ|onʲʃə|ˈd̪ˠə|ˈɡə|ˈl̻ʲoːɾˠ|[UNK]|[UNK]|ˈdʲiːɾʲah|mˠaɾˠ|ˈisˠ|ˈiː|ˈən̻ˠ|[UNK]|ˈfˠon̻ʲʃə|ˈd̪ˠə|hʲaŋɡahə|[UNK]|mˠaɾˠ|ˈən̻ˠ|[UNK]|ˈəɡəsˠ|ˈən̻ˠ|[UNK],train/10095903281939043360.wav
bhí an bus ag déanamh ar six flags st louis i missouri le go seinnfeadh an banna do shlua ag ceolchoirm a bhí díolta amach,ˈvʲiː|ˈən̻ˠ|ˈbˠasˠ|ˈeɟ|ˈdʲeːn̻ˠuː|ˈeɾʲ|[UNK]|[UNK]|[UNK]|[UNK]|ˈi|[UNK]|ˈlʲe|ˈɡə|ʃen̻̊ʲuː|ˈən̻ˠ|ˈbˠan̻ˠə|ˈd̪ˠə|ˈhl̻ˠua|ˈeɟ|ˈcoːl̻ˠˈxoɾʲəmʲ|ə|ˈvʲiː|dʲiːl̻ˠt̪ˠə|əˈmˠah,train/10107089569566271303.wav
"sa tríú háit tá hamlin fiche pointe ar chúl ach cúig phointe chun tosaigh ar bowyer tá kahne agus truex jr sa chúigiú agus sa séú háit faoi seach le 2,220 agus 2,207 pointe",ˈsˠə|tʲɾʲiːˈuː|haːtʲ|ˈt̪ˠaː|[UNK]|ˈfʲiçə|ˈpˠon̻ʲtʲə|ˈeɾʲ|ˈxuːl̻ˠ|ˈah|ˈkuːɟ|fˠonʲtʲə|ˈxun̻ˠ|ˈt̪ˠosˠiː|ˈeɾʲ|[UNK]|ˈt̪ˠaː|[UNK]|ˈəɡəsˠ|[UNK]|[UNK]|ˈsˠə|xuːɟuː|ˈəɡəsˠ|ˈsˠə|ˈʃeːuː|haːtʲ|ˈfˠiː|ˈʃah|ˈlʲe|[UNK]|ˈəɡəsˠ|[UNK]|ˈpˠon̻ʲtʲə,train/10107290314546311300.wav
líonann stewart gordon kenseth agus harvick a bhfuil fágtha de na deich n-ionad is fearr do chraobh na dtiománaithe agus ceithre rás fágtha sa séasúr,lʲiːn̻ˠən̻ˠ|[UNK]|[UNK]|[UNK]|ˈəɡəsˠ|[UNK]|ə|ˈvˠilʲ|ˈfˠaːkə|ˈd̪ˠe|ˈn̻ˠə|ˈdʲeç|[UNK]|ˈisˠ|ˈfʲaːɾˠ|ˈd̪ˠə|xɾˠiːvˠ|ˈn̻ˠə|dʲimˠaːn̻ˠiː|ˈəɡəsˠ|ˈceɾʲə|ˈɾˠaːsˠ|ˈfˠaːkə|ˈsˠə|ˈʃeːsˠuɾˠ,train/1011601799116434733.wav
tá machu picchu déanta suas de thrí phríomh-struchtúr is iad sin intihuatana teampall na gréine agus seomra na trí fhuinneoige,ˈt̪ˠaː|[UNK]|[UNK]|ˈdʲeːn̻ˠt̪ˠə|ˈsˠuasˠ|ˈd̪ˠe|ˈhʲɾʲiː|[UNK]|ˈisˠ|ˈiad̪ˠ|ˈʃinʲ|[UNK]|ˈtʲamˠpˠəl̻ˠ|ˈn̻ˠə|ˈɟɾʲeːnʲə|ˈəɡəsˠ|ˈʃomˠɾˠə|ˈn̻ˠə|ˈtʲɾʲiː|[UNK],train/10125486829525594664.wav
an tslí shoiléir le heitilt sa chéad rang nó sa rang gnó ná lear mór airgid a íoc as an bpribhléid nó níos fearr fós iarraidh ar do chuideachta é a dhéanamh ar do shon,ˈən̻ˠ|ˈtʲʃuːl̻ˠ|holʲeɾʲ|ˈlʲe|hʲetʲilʲtʲ|ˈsˠə|ˈçeːd̪ˠ|ˈɾˠaŋ|ˈn̻ˠoː|ˈsˠə|ˈɾˠaŋ|ˈɡɾˠoː|ˈn̻ˠaː|ˈl̻ʲaɾˠ|ˈmˠoːɾˠ|ˈaɾʲəɟədʲ|ə|ˈiːk|ˈasˠ|ˈən̻ˠ|bʲɾʲivʲlʲedʲ|ˈn̻ˠoː|ˈnʲiːsˠ|ˈfʲaːɾˠ|ˈfˠoːsˠ|ˈiaɾˠiː|ˈeɾʲ|ˈd̪ˠə|xidʲəɾˠt̪ˠə|ˈeː|ə|ˈjeːn̻ˠuː|ˈeɾʲ|ˈd̪ˠə|ˈhon̻ˠ,train/10126149421300751753.wav
thugtaí moltaí in ngach clár freisin maidir le leabhair ar chóir do leanaí cuardach lena n-aghaidh agus iad ar cuairt ina leabharlann,huɡt̪ˠiː|mˠal̻ˠt̪ˠiː|ˈinʲ|ˈŋah|ˈkl̻ˠaːɾˠ|ˈfʲɾʲeʃənʲ|ˈmˠadʲəɾʲ|ˈlʲe|ˈl̻ʲoːɾʲ|ˈeɾʲ|ˈxoːɾʲ|ˈd̪ˠə|ˈl̻ʲan̻ˠiː|ˈkuaɾˠd̪ˠah|ˈlʲen̻ˠə|n̻ˠeːiː|ˈəɡəsˠ|ˈiad̪ˠ|ˈeɾʲ|ˈkuaɾˠtʲ|ˈin̻ˠə|[UNK],train/10139591724926345458.wav
bhuaigh iar-ghobharnóir massachusetts mitt romney toghchán tosaigh uachtaránachta de chuid an pháirtí phoblachtánaigh i florida dé máirt le breis agus 46 faoin gcéad den vóta,ˈvˠuaiː|[UNK]|[UNK]|[UNK]|[UNK]|ˈt̪ˠauhan̻ˠ|ˈt̪ˠosˠiː|uaht̪ˠəɾˠaːn̻ˠəɾˠt̪ˠə|ˈd̪ˠe|ˈxidʲ|ˈən̻ˠ|fˠaːɾˠtʲiː|[UNK]|ˈi|[UNK]|ˈdʲeː|[UNK]|ˈlʲe|ˈbʲɾʲeʃ|ˈəɡəsˠ|[UNK]|ˈfˠinʲ|ɟeːd̪ˠ|ˈdʲənʲ|ˈvˠoːt̪ˠə,train/10146858750855892029.wav
i dtús an chogaidh thaistil siad den chuid is mó ar bharr na farraige ach de réir mar a forbraíodh radar thosaigh sé ag éirí níos cruinne agus b'éigean do na fomhuireáin dul faoi uisce ionas nach bhfeicfí iad,ˈi|ˈd̪ˠuːsˠ|ˈən̻ˠ|ˈxoɡiː|haʃtʲilʲ|ˈʃiːd̪ˠ|ˈdʲənʲ|ˈxidʲ|ˈisˠ|ˈmˠoː|ˈeɾʲ|ˈvˠaːɾˠ|ˈn̻ˠə|ˈfˠaɾˠəɟə|ˈah|ˈd̪ˠe|ˈɾˠeːɾʲ|mˠaɾˠ|ə|fˠaɾˠəbˠɾˠiːuː|ˈɾˠad̪ˠəɾˠ|ˈhasˠiː|ˈʃeː|ˈeɟ|ˈiːɾʲiː|ˈnʲiːsˠ|ˈkɾˠin̻ʲə|ˈəɡəsˠ|ˈbʲeːɟən̻ˠ|ˈd̪ˠə|ˈn̻ˠə|fˠoːəɾʲanʲ|ˈd̪ˠul̻ˠ|ˈfˠiː|ˈiʃcə|ˈin̻ˠəsˠ|ˈn̻ˠah|vʲecfʲiː|ˈiad̪ˠ,train/10158303489561494407.wav
beidh an chathair ar an gcéad chathair in oirdheisceart na heorpa a óstálfaidh cowparade an ócáid ​​ealaíne poiblí is mó ar domhan idir meitheamh agus lúnasa i mbliana,bʲeː|ˈən̻ˠ|ˈxahəɾʲ|ˈeɾʲ|ˈən̻ˠ|ɟeːd̪ˠ|ˈxahəɾʲ|ˈinʲ|ˈoɾʲjeʃcəɾˠt̪ˠ|ˈn̻ˠə|[UNK]|ə|oːsˠt̪ˠaːl̻̊ˠiː|[UNK]|ˈən̻ˠ|ˈoːkadʲ|[UNK]|ˈpˠobʲlʲiː|ˈisˠ|ˈmˠoː|ˈeɾʲ|ˈd̪ˠaun̻ˠ|ˈidʲəɾʲ|[UNK]|ˈəɡəsˠ|[UNK]|ˈi|ˈmʲlʲian̻ˠə,train/10163104159655028954.wav
is féidir aird nach bhfuil de dhíth a tharraingt go héasca má chuirtear puball in airde ar réadmhaoin phríobháideach nó i mbaile de mhéid ar bith,ˈisˠ|ˈfʲeːdʲəɾʲ|ˈaːɾʲdʲ|ˈn̻ˠah|ˈvˠilʲ|ˈd̪ˠe|ˈjiːh|ə|ˈhaɾˠənʲtʲ|ˈɡə|hʲeːsˠkə|ˈmˠa|xiɾˠtʲəɾˠ|ˈpˠubˠəl̻ˠ|ˈinʲ|aɾˠdʲə|ˈeɾʲ|ˈɾˠeːd̪ˠvˠiːnʲ|ˈfʲɾʲiːvˠadʲah|ˈn̻ˠoː|ˈi|ˈmˠalʲə|ˈd̪ˠe|ˈvʲeːdʲ|ˈeɾʲ|ˈbʲiː,train/10167662094758399778.wav
in 1951 ba chúis le tine nár fágadh ach cuid de na hiarsmaí an drukgyal dzong mar shampla íomhá de zhabdrung ngawang namgyal,ˈinʲ|[UNK]|ˈbˠə|ˈxuːʃ|ˈlʲe|ˈtʲinʲiː|ˈn̻ˠaːɾˠ|ˈfˠaːɡuː|ˈah|ˈkidʲ|ˈd̪ˠe|ˈn̻ˠə|hʲiaɾˠsˠmˠiː|ˈən̻ˠ|[UNK]|[UNK]|mˠaɾˠ|hamˠpˠl̻ˠə|ˈiːvˠaː|ˈd̪ˠe|[UNK]|[UNK]|[UNK],train/10169551644005919406.wav
d'fhéadfadh oti na síne na stáit aontaithe a shárú laistigh de fiche bliain,ˈd̪ˠeːd̪ˠuː|[UNK]|ˈn̻ˠə|ʃiːnʲə|ˈn̻ˠə|ˈsˠt̪ˠaːtʲ|[UNK]|ə|haːɾˠuː|ˈl̻ˠaʃtʲiː|ˈd̪ˠe|ˈfʲiçə|ˈbʲlʲianʲ,train/10171669473993179865.wav
