audio,transcription
data/idlak/audio/cll_z0001_045.wav,leabhar dá gcuid i gcló
data/idlak/audio/cll_z0001_046.wav,Tadhg ab ainm dá athair.
data/idlak/audio/cll_z0001_047.wav,An comhlacht neamhspleách léiriúcháin Lugh Films
data/idlak/audio/cll_z0001_049.wav,b'fhiú dóibh dul ag suirí
data/idlak/audio/cll_z0001_050.wav,bhí rud éigin dom choinneáil siar.
data/idlak/audio/cll_z0001_051.wav,Cúbach ba ea é nár chúb riamh.
data/idlak/audio/cll_z0001_053.wav,chéad léiriú Gaeilge sa Phéacóg.
data/idlak/audio/cll_z0001_054.wav,Fáithe an fichiú hAois
data/idlak/audio/cll_z0001_055.wav,"Ba é Christopher Butler, ardeaspag Chaisil, a rinne an socrú"
data/idlak/audio/cll_z0001_056.wav,Bhain sé céim B A agus H Dip.
data/idlak/audio/cll_z0001_057.wav,ní múinteoir ná múinteoir mé
data/idlak/audio/cll_z0001_058.wav,Is íomhá fhoirfe de Noel í
data/idlak/audio/cll_z0001_059.wav,Luadh fiú bagairtí buamaí a bheith faighte.
data/idlak/audio/cll_z0001_060.wav,"Gabhaimid buíochas leat, a Thiarna."
data/idlak/audio/cll_z0001_061.wav,Briotaíl Bhéarla a bhíonn i gceist i gcónaí
data/idlak/audio/cll_z0001_063.wav,Seo é Éamonn an Chnoic.
data/idlak/audio/cll_z0001_064.wav,buanna a shamhlaítí fadó leis an nGael.
data/idlak/audio/cll_z0001_066.wav,Thug sé chun boird mé
data/idlak/audio/cll_z0001_067.wav,"beiriú trí neomat, an buíocán bog."
data/idlak/audio/cll_z0001_069.wav,Ag aon bhreithlá gheobhfá cártaí
data/idlak/audio/cll_z0001_070.wav,Aimsíonn muid culaith dheas nua.
data/idlak/audio/cll_z0001_072.wav,"Baile Átha Cliath, áit a seolfaidh an láithreoir"
data/idlak/audio/cll_z0001_073.wav,má thugann tú nóta mór bainc di ligfidh sí béic
data/idlak/audio/cll_z0001_074.wav,thiarnaí talún atá á gciapadh.
data/idlak/audio/cll_z0001_076.wav,Cuir an plúr isteach i mbabhla mór.
data/idlak/audio/cll_z0001_077.wav,"Féach ansin é, gnúis mhoncaí, inchinn ghealbhain"
data/idlak/audio/cll_z0001_078.wav,ní inniu ná inné a saolaíodh an coincheap.
data/idlak/audio/cll_z0001_080.wav,Caibidil nua eile i leabhar C L G.
data/idlak/audio/cll_z0001_081.wav,"ní tír í an Dalmáit, ar ndóigh, ach réigiún."
data/idlak/audio/cll_z0001_082.wav,Insíodh dúinn gur scrios buamaí cuid mhór den Ard-Eaglais
data/idlak/audio/cll_z0001_084.wav,D'éag sé míle nó dhó taobh ó thuaidh de Chrois Mhic Lionnáin.
data/idlak/audio/cll_z0001_085.wav,Ghnóthaigh sé an H Dip.
data/idlak/audio/cll_z0001_086.wav,B'fhearr leo an ball a bhrógáil suas an pháirc.
data/idlak/audio/cll_z0001_087.wav,"shílfeá, ar an gcéad radharc, gur bábóg phoircealláin a bhí sa bpictiúr."
data/idlak/audio/cll_z0001_088.wav,tá dlúthdhioscaí ag dul leis na leabhair.
data/idlak/audio/cll_z0001_090.wav,Ba den phribhléid bheith á léamh.
data/idlak/audio/cll_z0001_091.wav,"Is diail an dream iad i ngach slí, im thuairimse."
data/idlak/audio/cll_z0001_092.wav,Ag cruthú is ag imirt cluichí agus ag poibliú
data/idlak/audio/cll_z0001_093.wav,Is é taobh le loighic a theanga féin.
data/idlak/audio/cll_z0001_094.wav,bhí cúpla alt i dtaobh ceoil aige in Comhar.
data/idlak/audio/cll_z0001_096.wav,Is é mo dhícheall é coimeád bonn ar bhonn leis.
data/idlak/audio/cll_z0001_098.wav,a bhíonn á gcoimeád faoi ómós i sanctóir gach séipéil.
data/idlak/audio/cll_z0001_099.wav,Ba dheacair é a shamhlú ach múineann gá seift.
data/idlak/audio/cll_z0001_100.wav,Mic léinn leighis ab ea seachtó a cúig faoin gcéad díobh sin.
data/idlak/audio/cll_z0001_101.wav,"Más sea, is boichte muid."
data/idlak/audio/cll_z0001_102.wav,n-aithneofaí tréithe na sean-namhad.
data/idlak/audio/cll_z0001_103.wav,naoi déag ochtó a haon
data/idlak/audio/cll_z0001_105.wav,tá an dara halbam déag ó stiúideo u two i ndiaidh tuirlingt.
data/idlak/audio/cll_z0001_106.wav,Chuaigh sé ar pinsean luath ón státseirbhís.
data/idlak/audio/cll_z0001_107.wav,"má chuaigh, bhí díomá orm."
data/idlak/audio/cll_z0001_108.wav,tá mír dheas in Ó Dónaill faoin bhó
data/idlak/audio/cll_z0001_109.wav,ní raibh pingin rua ina bpócaí acu uaireanta.
data/idlak/audio/cll_z0001_111.wav,Ach ní go ceann i bhfad.
data/idlak/audio/cll_z0001_112.wav,Leathchéad bliain ó shin chuaigh sé ar díol
data/idlak/audio/cll_z0001_113.wav,Ainmníodh seomra sa mhúsaem as.
data/idlak/audio/cll_z0001_114.wav,nó ag feabhsú ar a laghad
data/idlak/audio/cll_z0001_115.wav,tá an aimsir geallta an-ghaofar agus fuar inniu.
data/idlak/audio/cll_z0001_116.wav,"Elvis tar éis bháis fadó ionainn, ó dhein sé G I Blues."
data/idlak/audio/cll_z0001_117.wav,Ar a laghad ar bith bhí tásc uirthi.
data/idlak/audio/cll_z0001_121.wav,Dea-aoibh orthu ar fad.
data/idlak/audio/cll_z0001_123.wav,Freagra ar dhán Dhiarmuid Mhic an Bhaird
data/idlak/audio/cll_z0001_124.wav,Ba é a luaigh ainm Phóil le Marsh.
data/idlak/audio/cll_z0001_126.wav,Tá an rud céanna fíor i gcás teanga.
data/idlak/audio/cll_z0001_127.wav,"Na scórtha póilín ar dualgas, héileacaptar ag eitilt timpeall."
data/idlak/audio/cll_z0001_128.wav,Comhuaineach sníomhbhairdneach ó cheann go ceangal.
data/idlak/audio/cll_z0001_129.wav,Dhúisigh Dia aniar le mochéirí
data/idlak/audio/cll_z0001_130.wav,fiú tar éis beagnach daichead bliain.
data/idlak/audio/cll_z0001_133.wav,Réab Comhar isteach mar ghaoth úr tar éis ré choimeádach
data/idlak/audio/cll_z0001_134.wav,I bpáirtíocht le Pádraig Ua Maoileoin
data/idlak/audio/cll_z0001_135.wav,Bhíodh sé ag obair mar aoire bó dó siúd.
data/idlak/audio/cll_z0001_137.wav,Creidimid ann toisc gur mian linn creidiúint ann.
data/idlak/audio/cll_z0001_138.wav,Bíonn gearrstócaigh ag feitheamh ag pointí
data/idlak/audio/cll_z0001_141.wav,Sin é an leigheas agus ní baghcat ná cinsireacht.
data/idlak/audio/cll_z0001_142.wav,An Peann Coitianta le Liam Ó Muirthile
data/idlak/audio/cll_z0001_143.wav,Greim faighte ag foirgneoir ar phíosa eile talún fós.
data/idlak/audio/cll_z0001_144.wav,Caithfear íoc go daor astu.
data/idlak/audio/cll_z0001_145.wav,tá an rud a dúirt tú drochmheasúil.
data/idlak/audio/cll_z0001_146.wav,"Gan amhras, níor ghabh sé leithscéal."
data/idlak/audio/cll_z0001_147.wav,Ba leor leithscéal ar bith.
data/idlak/audio/cll_z0001_148.wav,An mbeidh toradh ar obair uí Fhoighil? Beidh le feiceáil.
data/idlak/audio/cll_z0001_149.wav,ní chuirfear ann ach mo chorpán
data/idlak/audio/cll_z0001_151.wav,"Tugann sé ""Eoraip na hEorpa"" ar an réigiún Meánmhuirí"
data/idlak/audio/cll_z0001_152.wav,Na teaghlaigh Ghaeilge a mhisniú
data/idlak/audio/cll_z0001_153.wav,Na siopadóirí ó dheas ag geonaíl.
data/idlak/audio/cll_z0001_154.wav,tá tú ag déanamh go diail.
data/idlak/audio/cll_z0001_155.wav,Is í ár n-aidhm ná an Ghaeilge a chur chun cinn.
data/idlak/audio/cll_z0001_156.wav,"allas an tíogair, téarma ar dheoch an-láidir ar fad."
data/idlak/audio/cll_z0001_157.wav,ar cheann de na hurraí preasa.
data/idlak/audio/cll_z0001_159.wav,Cuir i bpáirc peile iad.
data/idlak/audio/cll_z0001_161.wav,Níl ciall ná ciall leis sin.
data/idlak/audio/cll_z0001_163.wav,coinbhéartú meoin nó iompú ar ais de thoradh bróin agus áthais
data/idlak/audio/cll_z0001_164.wav,D'amharc sé orm le dínit ach bhí loinnir na súl múchta.
data/idlak/audio/cll_z0001_165.wav,Beatha teanga í a labhairt; buanú teanga í a scríobh.
data/idlak/audio/cll_z0001_166.wav,Ach d'fhéadfaí liosta ar bith a úsáid
data/idlak/audio/cll_z0001_167.wav,Spéir ghlan oíche ghealaí seaca.
data/idlak/audio/cll_z0001_171.wav,"""Tá an plota níos fearr i mbliana."" arsa Eoghan McDermott"
data/idlak/audio/cll_z0001_172.wav,"Ag dul ar gcúl, gan amhras."
data/idlak/audio/cll_z0001_174.wav,"Ruaigeann siad an t-eagla, an badhbh, an bogeyman."
data/idlak/audio/cll_z0001_175.wav,"Beidh Bileog ar ais dé Céadaoin, an dara lá de Mhí Eanáir."
data/idlak/audio/cll_z0001_176.wav,Dhein Niko iontas den mhéid sin.
data/idlak/audio/cll_z0001_177.wav,Léigh Séamus Ó Dubhghaill an páipéar thar a cheann.
data/idlak/audio/cll_z0001_179.wav,Tadhg ba ainm dá athair.
data/idlak/audio/cll_z0001_180.wav,ní cosúil go ngéillfidh na ceannaircigh.
data/idlak/audio/cll_z0001_182.wav,ní miste liom cén cineál Alfa Romeo.
data/idlak/audio/cll_z0001_183.wav,ní íocfaidh siad pingin rua agus sin sin.
data/idlak/audio/cll_z0001_184.wav,ní dual dóibh bheith ag caoineadh.
data/idlak/audio/cll_z0001_187.wav,Ar ndóigh níor ghearr sé aon phingin orthu.
data/idlak/audio/cll_z0001_188.wav,Seo anois daoine a bhí ag guí go mbeadh sé fuar.
data/idlak/audio/cll_z0001_189.wav,Tá Gollnisch ar chúig faoin gcéad.
data/idlak/audio/cll_z0001_190.wav,Cúig euro ar gach ceann.
data/idlak/audio/cll_z0001_193.wav,Ach níl de ghnó acu ach gnó poiblí
data/idlak/audio/cll_z0001_198.wav,"Bhraith mé uaim é, caithfidh mé a rá"
data/idlak/audio/cll_z0001_199.wav,Eisean timpeall deich mbliana i mo dhiaidh.
data/idlak/audio/cll_z0001_200.wav,"Cad eile? Ó sea, mo dhearúd, tá íomhá adhmaid againn den dia Éireannach, Cernunnus."
data/idlak/audio/cll_z0001_201.wav,Bíodh sé ceart nó éigeart
data/idlak/audio/cll_z0001_202.wav,Labhair sé faoi thábhacht na Gaeilge.
data/idlak/audio/cll_z0001_204.wav,An cith roimh an dealán.
data/idlak/audio/cll_z0001_206.wav,Bhí Osborn Bergin ar dhuine dá dhilchairde.
data/idlak/audio/cll_z0001_208.wav,Aontaím leat go h-iomlán! Ní aontaím libhse.
data/idlak/audio/cll_z0001_209.wav,An fhadhb: géarchéim thodhchaí na Fraincise.
data/idlak/audio/cll_z0001_213.wav,tá an baol ann fiú go dteipfidh ort san Ardteist.
data/idlak/audio/cll_z0001_214.wav,Tá cónaí air i nGaeltacht Chois Fharraige.
data/idlak/audio/cll_z0001_215.wav,ní raibh trup is callán uathu de shíor.
data/idlak/audio/cll_z0001_218.wav,Is bolcáin bheo iad seo.
data/idlak/audio/cll_z0001_219.wav,Príomhthreibh Pheiriú iad na Quechua.
data/idlak/audio/cll_z0001_220.wav,cibé áit ar an speictream a luíonn do spéis
data/idlak/audio/cll_z0001_223.wav,Bhronn an Eoraip Chruthaitheach deontas dhá chéad míle euro ar Telegael Teo.
data/idlak/audio/cll_z0001_225.wav,tá foirgnimh mhóra nua tógtha i ngach áit
data/idlak/audio/cll_z0001_226.wav,cibé áit a gcuirtí é
data/idlak/audio/cll_z0001_227.wav,"""tá sé in am gníomhú,"" a dúirt sé"
data/idlak/audio/cll_z0001_229.wav,deich euro atá ar na ticéid.
data/idlak/audio/cll_z0001_230.wav,tá siad ag imeacht go mall.
data/idlak/audio/cll_z0001_231.wav,"b'fhiú a rá arís, ach ná bac..."
data/idlak/audio/cll_z0001_232.wav,"Ach greim a fháil ar dheich faoin gcéad acu, ba shláintiúla i bhfad a cás."
data/idlak/audio/cll_z0001_233.wav,Ba dhlúthchuid dá dhaonnacht é
data/idlak/audio/cll_z0001_235.wav,"bhí a mac Micheál, agus cuid dá dheartháireacha, sna hóglaigh"
data/idlak/audio/cll_z0001_238.wav,Caithfear a rá go raibh pointe maith aige.
data/idlak/audio/cll_z0001_241.wav,ní bhuafaidh Cecelia Ahern duais Nobel na Litríochta.
data/idlak/audio/cll_z0001_242.wav,Ach ná bí buartha faoi.
data/idlak/audio/cll_z0001_244.wav,Níor éirigh leo measúnú a dhéanamh
data/idlak/audio/cll_z0001_246.wav,Deir Ó Ciosáin go mba fhear gaoil leis é
data/idlak/audio/cll_z0001_247.wav,Is é an trua nach bhfuil Myles beo.
data/idlak/audio/cll_z0001_248.wav,Tugann gach teaghlach ciseán go dtí an margadh
data/idlak/audio/cll_z0001_249.wav,Is breá liom an tsraith teilifíse
data/idlak/audio/cll_z0001_250.wav,tá neach dofheicthe suite trasna uait.
data/idlak/audio/cll_z0001_251.wav,Agus tá scaoll ag teacht fúm.
data/idlak/audio/cll_z0001_252.wav,Imríodh cluichí uirthi chomh fada siar le naoi déag dó dhéag
data/idlak/audio/cll_z0001_253.wav,Ba ghá athbhreithniú a dhéanamh i ndiaidh caoga bliain.
data/idlak/audio/cll_z0001_254.wav,Deineann sé lá mór fuiseog.
data/idlak/audio/cll_z0001_255.wav,Flosc chun foghlama orainn beirt.
data/idlak/audio/cll_z0001_256.wav,Rinceoir maith ba ea í
data/idlak/audio/cll_z0001_257.wav,"""D'fhostaigh George óg arís iad, nach suimiúil?"" a deir an Saighdiúir Tréigthe."
data/idlak/audio/cll_z0001_258.wav,An púicín a chuirfeá ar chapall.
data/idlak/audio/cll_z0001_261.wav,Beidh an bhliain amach romhainn suimiúil.
data/idlak/audio/cll_z0001_262.wav,Ba bheag ba lú orainn ná gabháltas Gael.
data/idlak/audio/cll_z0001_264.wav,"Ócáid neamhghnách, d'fhéadfá a rá"
data/idlak/audio/cll_z0001_265.wav,Ní amharclann amháin a bheidh ann ach trí cinn.
data/idlak/audio/cll_z0001_266.wav,ní dheachaigh muidne i muinín an ghunna riamh.
data/idlak/audio/cll_z0001_267.wav,Bhíos anois mar chuid de leaschlann.
data/idlak/audio/cll_z0001_268.wav,"Amharc go bhfuil féar, bó agus na síogaí sa tseanchas."
data/idlak/audio/cll_z0001_269.wav,Ach fillim ar na foirgnimh.
data/idlak/audio/cll_z0001_270.wav,Chuaigh mé féin go hoifig an phoist gar dom.
data/idlak/audio/cll_z0001_272.wav,Ainmníodh go minic don Duais Nobel é
data/idlak/audio/cll_z0001_274.wav,Rinneadh baghcat ar Oifig an Phoist cúpla uair le linn an Chogaidh Chathardha.
data/idlak/audio/cll_z0001_275.wav,bhí an tÉireannach Paul Brady ag imirt in aghaidh Luis Moreno ó Mheiriceá
data/idlak/audio/cll_z0001_277.wav,An-chosantóir go deo é Tommy.
data/idlak/audio/cll_z0001_278.wav,Aithním ar d'aghaidh gur i dteannta Geoffrey a bhís.
data/idlak/audio/cll_z0001_279.wav,Ach caithfear splanc de chineál a bheith ionat.
data/idlak/audio/cll_z0001_281.wav,Slat tomhais mhaith í reifreann ar mheas rialtais.
data/idlak/audio/cll_z0001_282.wav,samhlú de chuid na naoú haoise déag atá ann.
data/idlak/audio/cll_z0001_283.wav,Beidh mo ghuth fé bhláth ó aois go h-aois
data/idlak/audio/cll_z0001_286.wav,Sin Oíche na raidisí dhuit.
data/idlak/audio/cll_z0001_289.wav,tá cleachtadh acu orm faoin am seo.
data/idlak/audio/cll_z0001_290.wav,stiúireofaí mé san áit chuí sa gharraí ar oíche an tseó
data/idlak/audio/cll_z0001_291.wav,Tar i gcabhair orm go luath.
data/idlak/audio/cll_z0001_293.wav,Ach chuir muid suas leis sin.
data/idlak/audio/cll_z0001_294.wav,An fiú í a Tharrtháil?
data/idlak/audio/cll_z0001_295.wav,Ba mhór liom do chuidiú
data/idlak/audio/cll_z0001_296.wav,Ag éirí as cur i bhfeidhm
data/idlak/audio/cll_z0001_297.wav,"Agus ina dhiaidh sin, todhchaígh."
data/idlak/audio/cll_z0001_298.wav,Fearann beag a bhí ag m'athair nuair ba bheo dó
data/idlak/audio/cll_z0001_299.wav,Níor mhaith leis a chuid bacaíle a roinnt leo.
data/idlak/audio/cll_z0001_305.wav,tá deis ann scoil den chéad scoth a bhunú i gCléire.
data/idlak/audio/cll_z0001_307.wav,tá siad milis a dhuine.
data/idlak/audio/cll_z0001_310.wav,Bádh mé ar thalamh tirim.
data/idlak/audio/cll_z0001_311.wav,Neach geal ab ea é
data/idlak/audio/cll_z0001_315.wav,"Ba i nGleann Cholm Cille, contae Dhún na nGall, a rugadh Ó Cuinneagáin."
data/idlak/audio/cll_z0001_316.wav,Spreag sin díospóireacht faoi chuótaí cineáil.
data/idlak/audio/cll_z0001_318.wav,Aithneoidh tú ar a gcuid poipíní iad.
data/idlak/audio/cll_z0001_322.wav,tá cúpla ceacht maith ann
data/idlak/audio/cll_z0001_324.wav,Níl margadh ann níos mó don chnuasach aonteangach.
data/idlak/audio/cll_z0001_325.wav,Afracáinis a fhoghlaim ar scoil.
data/idlak/audio/cll_z0001_326.wav,"b'í uain bheo Chathail uí Eochaidh í, b'í uair na glóire aige í"
data/idlak/audio/cll_z0001_327.wav,"tá ag éirí leo áil a dhéanamh den éigean, áfach"
data/idlak/audio/cll_z0001_328.wav,tá fadhb againn le bia.
data/idlak/audio/cll_z0001_329.wav,"bhí Fiontar riamh ó thús, nuálaíoch, cruthaitheach agus ar ardchaighdeán."
data/idlak/audio/cll_z0001_330.wav,"Ba cheart go mbeadh níos mó céille ag Mansergh, áfach"
data/idlak/audio/cll_z0001_331.wav,"Bíonn bród acu aisti, nó náire orthu fúithi."
data/idlak/audio/cll_z0001_333.wav,Molaim gur cheart iad a dhíbirt.
data/idlak/audio/cll_z0001_334.wav,Phreab siad aniar le fórsa is le binb.
data/idlak/audio/cll_z0001_335.wav,"Agus ina dhiaidh sin léimid na nuachtáin, im chás féin de, thrí cinn ar a laghad in aghaidh an lae."
data/idlak/audio/cll_z0001_337.wav,tá aicme ghairmiúil iriseoirí ag déanamh slí bheatha as an iriseoireacht
data/idlak/audio/cll_z0001_338.wav,Dheonaigh sí a corp i gcóir taighde leighis.
data/idlak/audio/cll_z0001_339.wav,Is breá liom an t-ainm.
data/idlak/audio/cll_z0001_341.wav,bhí an íocaíocht le déanamh dé Sathairn.
data/idlak/audio/cll_z0001_344.wav,tá an rud céanna fíor sa spórt.
data/idlak/audio/cll_z0001_345.wav,Thosaigh na huain ag méileach. Lig Íosa scread.
data/idlak/audio/cll_z0001_347.wav,ní raibh teorainn lena gcreideamh.
data/idlak/audio/cll_z0001_348.wav,"ní chuireann siad cis, cáis ná yahoo orm."
data/idlak/audio/cll_z0001_349.wav,Sa mhéid sin ní raibh siad ciontach.
data/idlak/audio/cll_z0001_350.wav,Ach pé áit ar phioc sé suas iad d'fhág sé a rian neamhchoitianta féin orthu.
data/idlak/audio/cll_z0001_351.wav,tá an bheirt fhear ag pléadáil neamhchiontach.
data/idlak/audio/cll_z0001_352.wav,Fidléir ó Bhaile átha Cliath ó dhúchas í agus seo an chéad albam dá cuid.
data/idlak/audio/cll_z0001_353.wav,'Gus is scim liom na fásanna.
data/idlak/audio/cll_z0001_355.wav,Fuair filí eile duaiseanna as saothar próis.
data/idlak/audio/cll_z0001_356.wav,Is é Eoin Mac Néill a bhí sa chathaoir.
data/idlak/audio/cll_z0001_357.wav,tá cuid dá dhraíocht feicthe agam.
data/idlak/audio/cll_z0001_358.wav,Is fiú go maith aiste Phádraig uí Riain.
data/idlak/audio/cll_z0001_359.wav,I lár na naoi déag caogaidí chuaigh siad chun cónaithe sa Daingean.
data/idlak/audio/cll_z0001_360.wav,Maraíodh fear naoi mbliana déag d'aois i dtimpiste bóthair i nDún na nGall luath ar maidin.
data/idlak/audio/cll_z0001_363.wav,Is cóir brú a chur.
data/idlak/audio/cll_z0001_365.wav,Gheall an aip dom nach mbeadh sé róghaofar nó rófhliuch nó rófhuar.
data/idlak/audio/cll_z0001_366.wav,Níorbh é Widgery é ach ann oiread.
data/idlak/audio/cll_z0001_367.wav,Is snoíodóirí den scoth iad.
data/idlak/audio/cll_z0001_369.wav,Mac le Dáibhí Dubh Mac Gearailt ba ea é
data/idlak/audio/cll_z0001_370.wav,Déanfar é sin in am tráth.
data/idlak/audio/cll_z0001_371.wav,Sheas Lugh ar an tsráid tamall.
data/idlak/audio/cll_z0001_372.wav,Ach caithfidh urlár a bheith in áit éigin
data/idlak/audio/cll_z0001_373.wav,Ba dheacair cur in aghaidh ceann ar bith díobh.
data/idlak/audio/cll_z0001_374.wav,Luaim foighne mar d'fhéadfadh an rang seo a bheith saghas leamh.
data/idlak/audio/cll_z0001_375.wav,Ag caint ar chogadh Vítneam.
data/idlak/audio/cll_z0001_376.wav,Aistrítear an long ar a bhfuil sé
data/idlak/audio/cll_z0001_379.wav,Sin mo bharúil cibé ar bith.
data/idlak/audio/cll_z0001_380.wav,"Ón chéad lá ba chairde iad Seoirse is Muiris Ó Súilleabháin, oileánach óg"
data/idlak/audio/cll_z0001_381.wav,Caitheann siad clocha fiú má tá siad sa pheaca iad féin.
data/idlak/audio/cll_z0001_382.wav,Bheith á scríobh ó am go chéile ag an gcriticeoir clúiteach
data/idlak/audio/cll_z0001_383.wav,Dhealraigh gáire beag ar a aghaidh.
data/idlak/audio/cll_z0001_384.wav,Bhí siad ar long a bhí ag tabhairt aghaidh ar an Spáinn.
data/idlak/audio/cll_z0001_386.wav,Tá níos mó ná peil i gceist.
data/idlak/audio/cll_z0001_387.wav,Boilgín fóillíochta é idir boilgín fóillíochta eile.
data/idlak/audio/cll_z0001_388.wav,Ba í an namhaid i gcónaí í
data/idlak/audio/cll_z0001_391.wav,Ina ráiteas aréir thagair Ó Gadhra don fhaillí.
data/idlak/audio/cll_z0001_392.wav,Níl mé baileach cinnte cén uair ar thuig mé gurb as an nGaeltacht mé
data/idlak/audio/cll_z0001_394.wav,Agus ócáid phoiblí a bhí ann.
data/idlak/audio/cll_z0001_395.wav,"Tic toc, tic toc, sprioc-am ag teacht."
data/idlak/audio/cll_z0001_396.wav,Bhraith sé uaidh an Rúis.
data/idlak/audio/cll_z0001_397.wav,Gan é cinnte cén deismireacht a bheadh chuige dá bharr.
data/idlak/audio/cll_z0001_398.wav,Mhúineadh sé Briotáinis i mBaile átha Cliath.
data/idlak/audio/cll_z0001_400.wav,tá sí uilíoch chomh maith le pearsanta.
data/idlak/audio/cll_z0001_401.wav,Is mall agus is mithid.
data/idlak/audio/cll_z0001_402.wav,"Focal suas, mar a deir Mac an Easpaig."
data/idlak/audio/cll_z0001_403.wav,d'fhoghlaim mé ag plé leis an téacs
data/idlak/audio/cll_z0001_404.wav,ní bheadh a fhios agat
data/idlak/audio/cll_z0001_405.wav,Shíl cuid de na filí a ghlac páirt
data/idlak/audio/cll_z0001_406.wav,Caithfidh céim nó cáilíocht ghairmiúil dlí bheith ag gach iarrthóir.
data/idlak/audio/cll_z0001_408.wav,"ní thuirlingíonn athrú ón spéir, níl aon taibhse sa Zeitgeist."
data/idlak/audio/cll_z0001_409.wav,Ba aige a bhí an fhís.
data/idlak/audio/cll_z0001_410.wav,Thug Qutb cuairt ar Mheiriceá agus chuir a bhfaca sé ann déistin air.
data/idlak/audio/cll_z0001_412.wav,"Pól Aspal, níor nath leis é"
data/idlak/audio/cll_z0001_413.wav,"Ar dtús, bhí an chonspóid leanúnach faoi bhinse fiosrúcháin Mahon."
data/idlak/audio/cll_z0001_415.wav,Chuir muid téacs chuig cara eile linn a bhí ag ceolchoirm sa halla.
data/idlak/audio/cll_z0001_416.wav,Beidh praghas an scoir le n-íoc fós.
data/idlak/audio/cll_z0001_417.wav,Thiocfadh le tuismitheoir ar bith tabhairt fúthu gan deacracht.
data/idlak/audio/cll_z0001_418.wav,Gach foghlaim chun deise duit féin.
data/idlak/audio/cll_z0001_419.wav,Fágfaidh mé mo chóip de An Triail
data/idlak/audio/cll_z0001_420.wav,"Cúigear scríbhneoirí, inár gcimí ag L A F."
data/idlak/audio/cll_z0001_421.wav,Caithfear cuid den ghnáthshaol a dhéanamh den tríú teanga.
data/idlak/audio/cll_z0001_422.wav,"Baineann a chuid dánta cineál spáis amach dó féin, spás le hanálú éigin a dhéanamh"
data/idlak/audio/cll_z0001_423.wav,"Shíolraigh Flaithbheartaigh ó Eochaidh Muighmheadhoin, rí na hÉireann."
data/idlak/audio/cll_z0001_424.wav,I naoi déag tríocha cuireadh ar fionraí é toisc nár baineadh úsáid chóir as an mbuiséad.
data/idlak/audio/cll_z0001_425.wav,trí lá a mhairfidh an plé - a chreidtear.
data/idlak/audio/cll_z0001_426.wav,b'fhiú ceist a chur orthu.
data/idlak/audio/cll_z0001_427.wav,"Sea, ba í Sasana an namhaid."
data/idlak/audio/cll_z0001_428.wav,"Ach sin a bhfuil, mo chairde."
